Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9880,7 Days to Die,Play Station 4,2016,Action,Telltale Games,0.03,0.07,0,0.02,0.12
13652,7 Days to Die,Xbox One,2016,Action,Telltale Games,0.02,0.02,0,0,0.04
14094,Batman: A Telltale Game Series,Play Station 4,2016,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
16239,Batman: A Telltale Game Series,Play Station 3,2016,Adventure,Telltale Games,0,0.01,0,0,0.01
7499,Attack on Titan (KOEI),Play Station 4,2016,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2
9440,Attack on Titan (KOEI),Play Station 5,2016,Action,Tecmo Koei,0,0,0.13,0,0.13
10395,Toukiden 2,Play Station 5,2016,Action,Tecmo Koei,0,0,0.11,0,0.11
11426,Toukiden 2,Play Station 4,2016,Action,Tecmo Koei,0,0,0.08,0,0.08
12565,Attack on Titan (KOEI),Play Station 3,2016,Action,Tecmo Koei,0,0,0.06,0,0.06
12989,Dead or Alive Xtreme 3: Fortune,Play Station 4,2016,Sports,Tecmo Koei,0,0,0.05,0,0.05
13489,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,Play Station 4,2016,Misc,Tecmo Koei,0,0,0.04,0,0.04
13870,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,Play Station 5,2016,Misc,Tecmo Koei,0,0,0.04,0,0.04
14180,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,Play Station 3,2016,Misc,Tecmo Koei,0,0,0.03,0,0.03
14204,Dead or Alive Xtreme 3: Venus,Play Station 5,2016,Sports,Tecmo Koei,0,0,0.03,0,0.03
14466,Atelier Shallie Plus: Alchemists of the Dusk Sea,Play Station 5,2016,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03
14612,Attack on Titan (KOEI),Xbox One,2016,Action,Tecmo Koei,0.01,0.01,0,0,0.03
15073,La Corda d'Oro 4,Play Station 5,2016,Action,Tecmo Koei,0,0,0.02,0,0.02
15616,Toukiden 2,Play Station 3,2016,Action,Tecmo Koei,0,0,0.02,0,0.02
15687,Winning Post 8 2016,Play Station 4,2016,Simulation,Tecmo Koei,0,0,0.02,0,0.02
15723,Arslan: The Warriors of LeSega Genesisd,Xbox One,2016,Action,Tecmo Koei,0.01,0,0,0,0.02
16223,Dynasty Warriors: Eiketsuden,Play Station 4,2016,Action,Tecmo Koei,0,0,0.01,0,0.01
1703,NBA 2K17,Play Station 4,2016,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
3147,NBA 2K17,Xbox One,2016,Sports,Take-Two Interactive,0.54,0.04,0,0.07,0.64
7182,Battleborn,Play Station 4,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22
7566,XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.1,0,0.02,0.2
7653,BioShock The Collection,Play Station 4,2016,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
9648,Battleborn,Xbox One,2016,Shooter,Take-Two Interactive,0.08,0.04,0,0.01,0.13
11552,BioShock The Collection,Xbox One,2016,Shooter,Take-Two Interactive,0.03,0.04,0,0.01,0.08
12007,Battleborn,PC,2016,Shooter,Take-Two Interactive,0.03,0.03,0,0.01,0.07
12871,NBA 2K17,Xbox 360,2016,Sports,Take-Two Interactive,0.04,0,0,0.01,0.05
13234,NBA 2K17,Play Station 3,2016,Sports,Take-Two Interactive,0.03,0.01,0,0.01,0.05
13704,XCOM 2,Play Station 4,2016,Strategy,Take-Two Interactive,0.01,0.02,0,0.01,0.04
15804,XCOM 2,Xbox One,2016,Strategy,Take-Two Interactive,0.01,0.01,0,0,0.02
16225,Carmageddon: Max Damage,Xbox One,2016,Action,Stainless Games,0.01,0.01,0,0,0.01
3223,Dragon Quest Monsters Joker 3,Nintendo 3DS,2016,Role-Playing,Square Enix,0,0,0.63,0,0.63
5098,Life is Strange,Play Station 4,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37
5501,Deus Ex: Mankind Divided,Play Station 4,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05,0.33
5924,Star Ocean 5: Integrity and FaithlesSuper Nintendo ESs,Play Station 4,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02,0.3
5931,Dragon Quest Builders: Revive Alefgard,Play Station 5,2016,Role-Playing,Square Enix,0,0,0.3,0,0.3
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Play Station 4,2016,Action,Square Enix,0,0,0.28,0,0.28
7062,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Play Station 5,2016,Action,Square Enix,0,0,0.23,0,0.23
7222,Dragon Quest Builders: Revive Alefgard,Play Station 4,2016,Role-Playing,Square Enix,0,0,0.22,0,0.22
8949,Deus Ex: Mankind Divided,Xbox One,2016,Role-Playing,Square Enix,0.08,0.06,0,0.01,0.15
9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Play Station 3,2016,Action,Square Enix,0,0,0.13,0,0.13
9906,Dragon Quest Builders: Revive Alefgard,Play Station 3,2016,Role-Playing,Square Enix,0,0,0.12,0,0.12
10049,Life is Strange,Xbox One,2016,Adventure,Square Enix,0.08,0.02,0,0.01,0.11
10733,Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0,0.09,0,0.01,0.1
12646,Project Setsuna,Play Station 4,2016,Role-Playing,Square Enix,0,0,0.06,0,0.06
13022,Project Setsuna,Play Station 5,2016,Role-Playing,Square Enix,0,0,0.05,0,0.05
13564,Life is Strange,PC,2016,Adventure,Square Enix,0.01,0.03,0,0,0.04
13649,Hitman (2016),Play Station 4,2016,Action,Square Enix,0,0.04,0,0.01,0.04
13791,Star Ocean 5: Integrity and FaithlesSuper Nintendo ESs,Play Station 3,2016,Role-Playing,Square Enix,0,0,0.04,0,0.04
15412,Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix,0,0.02,0,0,0.02
16534,Hitman (2016),Xbox One,2016,Action,Square Enix,0,0.01,0,0,0.01
272,Uncharted 4: A Thief's End,Play Station 4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
1729,Ratchet & Clank (2016),Play Station 4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
2459,MLB 16: The Show,Play Station 4,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16,0.84
7894,The Heavy Rain and Beyond: Two Souls Collection,Play Station 4,2016,Action,Sony Computer Entertainment,0,0.16,0,0.03,0.19
8468,MLB 16: The Show,Play Station 3,2016,Action,Sony Computer Entertainment,0.13,0,0,0.03,0.16
15943,Worms: WMD,Play Station 4,2016,Action,Sold Out,0.01,0.01,0,0,0.02
8411,Valkyria Chronicles,Play Station 4,2016,Role-Playing,Sega,0.06,0.04,0.05,0.02,0.17
8659,Yakuza Kiwami,Play Station 4,2016,Adventure,Sega,0,0,0.16,0,0.16
9900,Hatsune Miku: Project Diva X,Play Station 5,2016,Misc,Sega,0.01,0,0.1,0,0.12
9924,Yakuza Kiwami,Play Station 3,2016,Adventure,Sega,0,0,0.12,0,0.12
10593,Total War: WARHAMMER,PC,2016,Strategy,Sega,0,0.1,0,0.01,0.1
13887,Hatsune Miku: Project Diva X,Play Station 4,2016,Misc,Sega,0.01,0,0.02,0,0.04
14309,Sonic Boom: Fire & Ice,Nintendo 3DS,2016,Platform,Sega,0.03,0,0,0,0.03
14779,3DS Classic Collection,Nintendo 3DS,2016,Misc,Sega,0.02,0,0,0,0.03
15009,Kenka Bancho Otome,Play Station 5,2016,Action,Screenlife,0,0,0.02,0,0.02
14613,Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,Nintendo 3DS,2016,Role-Playing,Rocket Company,0,0,0.03,0,0.03
15855,Assault Suit Leynos,Play Station 4,2016,Shooter,Rising Star Games,0.01,0,0,0,0.02
16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,Play Station 5,2016,Adventure,Prototype,0,0,0.01,0,0.01
11897,Guilty Gear Xrd -Revelator-,Play Station 4,2016,Fighting,PQube,0.02,0,0.05,0,0.07
12014,Guilty Gear Xrd -Revelator-,Play Station 3,2016,Fighting,PQube,0.01,0.02,0.02,0.01,0.07
14075,Aegis of Earth: Protonovus Assault,Play Station 5,2016,Action,PQube,0.02,0.01,0,0.01,0.04
14721,Aegis of Earth: Protonovus Assault,Play Station 3,2016,Action,PQube,0.01,0.01,0,0,0.03
15169,Aegis of Earth: Protonovus Assault,Play Station 4,2016,Action,PQube,0.02,0,0,0,0.02
14386,Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0,0.03,0,0,0.03
14638,Stellaris,PC,2016,Strategy,Paradox Interactive,0,0.03,0,0,0.03
16347,Cities: SkyliNintendo ES Snowfall,PC,2016,Simulation,Paradox Development,0,0.01,0,0,0.01
16054,Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games,0,0.01,0,0,0.01
16255,The Book of Unwritten Tales 2,Nintendo WiiU,2016,Adventure,Nordic Games,0,0.01,0,0,0.01
16558,Codename: Panzers Complete Collection,PC,2016,Strategy,Nordic Games,0,0.01,0,0,0.01
8089,Odin Sphere: Leifthrasir,Play Station 4,2016,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07,0.02,0.18
8874,Odin Sphere: Leifthrasir,Play Station 5,2016,Role-Playing,Nippon Ichi Software,0.02,0.03,0.08,0.02,0.15
12490,Odin Sphere: Leifthrasir,Play Station 3,2016,Role-Playing,Nippon Ichi Software,0.01,0.02,0.03,0.01,0.06
13604,Refrain no Chika Meikyuu to Majo no Ryodan,Play Station 5,2016,Action,Nippon Ichi Software,0,0,0.04,0,0.04
14899,psycho-Pass: Mandatory HappiNintendo ESs,Play Station 4,2016,Adventure,Nippon Ichi Software,0.02,0,0,0,0.03
14912,Yuusha Shisu.,Play Station 5,2016,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02
15403,psycho-Pass: Mandatory HappiNintendo ESs,Play Station 5,2016,Adventure,Nippon Ichi Software,0,0.01,0.01,0,0.02
15499,Rose to Tasogare no Kojou,Play Station 5,2016,Action,Nippon Ichi Software,0,0,0.02,0,0.02
15949,Touhou Sega Genesisso Rondo: Bullet Ballet,Play Station 4,2016,Shooter,Nippon Ichi Software,0.01,0,0,0,0.02
15984,Coven and Labyrinth of Refrain,Play Station 5,2016,Action,Nippon Ichi Software,0,0,0.01,0,0.01
16178,Republique,Play Station 4,2016,Action,Nippon Ichi Software,0,0.01,0.01,0,0.01
16206,Shin Hayarigami 2,Play Station 5,2016,Adventure,Nippon Ichi Software,0,0,0.01,0,0.01
12685,Sumikko Gurashi: Mura o Tsukurundesu,Nintendo 3DS,2016,Misc,Nippon Columbia,0,0,0.06,0,0.06
2214,The LeSega Genesisd of Zelda: Twilight Princess HD,Nintendo WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2450,Kirby: Planet Robobot,Nintendo 3DS,2016,Action,Nintendo,0.26,0.1,0.44,0.04,0.85
4263,Mario & Sonic at the Rio 2016 Olympic Games,Nintendo 3DS,2016,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
4660,Hyrule Warriors,Nintendo 3DS,2016,Action,Nintendo,0.16,0.12,0.11,0.03,0.42
5290,Star Fox: Zero,Nintendo WiiU,2016,Shooter,Nintendo,0.16,0.1,0.07,0.03,0.35
6590,Mario & Sonic at the Rio 2016 Olympic Games,Nintendo WiiU,2016,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
11012,Disney Art Academy,Nintendo 3DS,2016,Action,Nintendo,0.01,0.01,0.07,0,0.09
12956,CulDreamcasrept Revolt,Nintendo 3DS,2016,Strategy,Nintendo,0,0,0.05,0,0.05
14304,Metroid Prime: Federation Force,Nintendo 3DS,2016,Action,Nintendo,0.02,0.01,0.01,0,0.03
14971,Teddy Together,Nintendo 3DS,2016,Simulation,Nintendo,0,0.02,0,0,0.02
11244,Ys VIII: Lacrimosa of Dana,Play Station 5,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0,0.09
15039,Tokyo Xanadu eX+,Play Station 4,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0,0.02
15372,The LeSega Genesisd of Heroes: Trails in the Sky Third Chapter,Play Station 5,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0,0.02
1191,Dark Souls III,Play Station 4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
1960,Naruto Shippuden: Ultimate Ninja Storm 4,Play Station 4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
2244,Pokken Tournament,Nintendo WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
5270,Dark Souls III,Xbox One,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0,0.03,0.35
6126,One Piece: Burning Blood,Play Station 4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,Xbox One,2016,Fighting,Namco Bandai Games,0.19,0.06,0,0.03,0.28
7248,Tales of Berseria,Play Station 4,2016,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22
8446,Dragon Ball: Fusions,Nintendo 3DS,2016,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
9813,Gundam Breaker 3,Play Station 5,2016,Action,Namco Bandai Games,0,0,0.12,0,0.12
10233,Tales of Berseria,Play Station 3,2016,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11
10266,One Piece: Burning Blood,Play Station 5,2016,Fighting,Namco Bandai Games,0,0.03,0.07,0.01,0.11
10285,Digimon Story: Cyber Sleuth,Play Station 4,2016,Role-Playing,Namco Bandai Games,0,0.09,0,0.02,0.11
10829,Taiko no Tatsujin: Don Don! Mystery Adventure,Nintendo 3DS,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
10846,Gundam Breaker 3,Play Station 4,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
10891,Digimon World: Next Order,Play Station 5,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
10956,The Idolmaster: Platinum Stars,Play Station 4,2016,Simulation,Namco Bandai Games,0,0,0.09,0,0.09
11067,Super Robot Wars OG: The Moon Dwellers,Play Station 4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09
12404,Valentino Rossi: The Game,Play Station 4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.06
12593,Summon Night 6: Lost Borders,Play Station 5,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06
12618,AnSega Saturnsu Kyoushitsu: Assassin Ikusei Keikaku!!,Nintendo 3DS,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06
12633,Super Robot Wars OG: The Moon Dwellers,Play Station 3,2016,Misc,Namco Bandai Games,0,0,0.06,0,0.06
12837,Kamen Rider: Battride War Sega Genesisintendo ESis,Play Station 4,2016,Action,Namco Bandai Games,0,0,0.05,0,0.05
