Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms,Publisher_clean
PS3_Winter Sports 3: The Great Tournament,PS3,Winter Sports 3: The Great Tournament,Zoo Games,49Games,0,30000,0,30000,0,0,29/03/2011,,,,,,,zoo games
PS3_Kevin Van Dam: Big Bass Challenge,PS3,Kevin Van Dam: Big Bass Challenge,Zoo Games,Zoo Games,0,0,0,0,0,0,30/06/2011,,,,,,,zoo games
PS4_Stick It to the Man,PS4,Stick It to the Man,Zoink Games,Unknown,0,0,0,0,0,0,06/05/2014,,,,,,,zoink games
PS3_Stick It to the Man,PS3,Stick It to the Man,Zoink Games,Unknown,0,0,0,0,0,0,19/11/2013,,,,,,,zoink games
PS4_Death Coming,PS4,Death Coming,Zodiac Interactive,NEXT Studios,0,0,0,0,0,0,26/02/2019,20/04/2019,3.52,45,,"Adventure, RPG, Puzzle, Casual, Strategy, Simulation, Indie","PC, PlayStation 4, Nintendo Switch, iOS",zodiac interactive
PS4_KickBeat,PS4,KickBeat,Zen Studios,Unknown,0,0,0,0,0,0,01/01/2015,,,,,,,zen studios
PS3_Star Wars Pinball,PS3,Star Wars Pinball,Zen Studios,Unknown,0,0,0,0,0,0,14/05/2013,,3.18,11,,Arcade,"Nintendo Switch, Nintendo 3DS, PlayStation 3, PS Vita, Wii U",zen studios
PS3_Zen Pinball 2,PS3,Zen Pinball 2,Zen Studios,Unknown,0,0,0,0,0,0,04/09/2012,,3.17,23,,"Casual, Arcade, Simulation","PlayStation 4, macOS, PlayStation 3, Wii U",zen studios
PS3_ibb and obb,PS3,ibb and obb,Zen Studios,Unknown,0,0,0,0,0,0,06/08/2013,,,,,,,zen studios
PS3_KickBeat,PS3,KickBeat,Zen Studios,Unknown,0,0,0,0,0,0,03/09/2013,,2.82,57,,"Indie, Action","PC, PlayStation 3, PS Vita",zen studios
